Designator,Footprint,Quantity,Value,LCSC Part #
"BOOTSEL1, RESET1",SW_SPST_TL3342,2,SW_Push,
C1,0402,1,100nF,
"D1, D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D11, D110, D111, D112, D113, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",D_SOD-123-Pretty-symbol,113,D_Small,
ESD1,SOT-143,1,PRTR5V0U2X,
F1,1206,1,1.5A,
"GT1, GT10, GT100, GT101, GT102, GT103, GT104, GT105, GT106, GT107, GT108, GT109, GT11, GT110, GT111, GT112, GT113, GT12, GT13, GT14, GT15, GT16, GT17, GT18, GT19, GT2, GT20, GT21, GT22, GT23, GT24, GT25, GT26, GT27, GT28, GT29, GT3, GT30, GT31, GT32, GT33, GT34, GT35, GT36, GT37, GT38, GT39, GT4, GT40, GT41, GT42, GT43, GT44, GT45, GT46, GT47, GT48, GT49, GT5, GT50, GT51, GT52, GT53, GT54, GT55, GT56, GT57, GT58, GT59, GT6, GT60, GT61, GT62, GT63, GT64, GT65, GT66, GT67, GT68, GT69, GT7, GT70, GT71, GT72, GT73, GT74, GT75, GT76, GT77, GT78, GT79, GT8, GT80, GT81, GT82, GT83, GT84, GT85, GT86, GT87, GT88, GT89, GT9, GT90, GT91, GT92, GT93, GT94, GT95, GT96, GT97, GT98, GT99",SW_Gateron_LowProfile_HotSwap_PTH,113,Gateron-HotSwap,
"NP1, NP10, NP100, NP101, NP102, NP103, NP104, NP105, NP106, NP107, NP108, NP109, NP11, NP110, NP111, NP112, NP113, NP12, NP13, NP14, NP15, NP16, NP17, NP18, NP19, NP2, NP20, NP21, NP22, NP23, NP24, NP25, NP26, NP27, NP28, NP29, NP3, NP30, NP31, NP32, NP33, NP34, NP35, NP36, NP37, NP38, NP39, NP4, NP40, NP41, NP42, NP43, NP44, NP45, NP46, NP47, NP48, NP49, NP5, NP50, NP51, NP52, NP53, NP54, NP55, NP56, NP57, NP58, NP59, NP6, NP60, NP61, NP62, NP63, NP64, NP65, NP66, NP67, NP68, NP69, NP7, NP70, NP71, NP72, NP73, NP74, NP75, NP76, NP77, NP78, NP79, NP8, NP80, NP81, NP82, NP83, NP84, NP85, NP86, NP87, NP88, NP89, NP9, NP90, NP91, NP92, NP93, NP94, NP95, NP96, NP97, NP98, NP99",LED_SK6812MINI_E,113,SK6812MINI,
OLED1,PinHeader_2x05_P2.54mm_Vertical_SMD,1,Conn_02x05_Odd_Even,
"R1, R2",1812,2,22k,
R3,1812,1,500,
U1,RP2xxx_Stamp_XL_THT,1,RP2350_Stamp_XL,
USB1,HRO-TYPE-C-31-M-12-HandSoldering,1,HRO-TYPE-C-31-M-12,
